Line of route,ELR
LN886,MKB2
LN888,FKW
LN892,PEF
LN910,TCW1
NW1001,LEC2
NW1002,RBS3
NW1004,RRN2
NW1021,DSE
NW1025,IMG
NW3001,CNH1
NW3003,CHW1
NW3007,WDB3
NW3013,HHJ
NW3023,CDM2
NW3027,CDM1
NW4007,KBS1
NW4023,ULR
NW4025,MCG
NW4033,CBC1
NW5005,SMA
NW6009,WBS1
NW7001,MVE1
NW7005,CPI1
NW8007,NMM
NW8009,WKL2
NW9017,WJP1
NW9019,BUX
NW9901,SAC
NW9907,EDE
NW9911,NGD
SC001,WCM2
SC017,MDE
SC021,COS1
SC059,AYR6
SC059,LYE
SC059,STR2
SC065,GOU2
SC069,CON3
SC079,HUN
SC099,RSL1
SC099,RSL2
SC101,RCB
SC129,SGN
SC131,HST
SC133,MGE
SC145,MLG1
SC163,SUB2
SC165,SUB2
SC171,ECN1
SC173,CWH3
SC195,ANI2
SC195,HGL2
SC197,WRO
SC199,DFN
SC203,WCK
SC207,TSO
SO110,VIR
SO130,FDM
SO130,NCS
SO240,BME2
SO250,BSF
SO250,FLL3
SO290,PSF
SO320,HTG
SO350,BNG
SO400,TRL3
SO500,CJA1
SO500,VTB2
SO510,LBC
SO510,NFE
SO511,ELL5
SO620,KJE1
SO640,BBR
SO680,BTH3
SO680,LTH
SO700,SMS1
SW100,AHG
SW105,WTQ
SW115,BAE1
SW120,PAA1
SW150,RTJ1
SW195,HAM
SW230,HJW
SW245,TSJ
SW265,GTW2
XR002,XRS
EA1013,NCW
EA1327,ELL3
SW100,CJL
SW105,PPW
MD401,BCV/D CL
MD725,MCJ4
MD740,BFO
GW790,ROA
GW834,VON/ ALK
SC035,KSH
SC147,EGM2
NW2027,SCT1/2
NW5010,SCQ2
NW7015,PRG
NW8017,CCS1/ 2
EA1200,CJC
EA1280,SDC
EA1310,SAR2
EA1470,NOL
EA1480,WHC2
EA1550,EWC
EA1570,WIG
GW103,MLN1
GW108,MLN2
GW430,THO
GW480,SWM1
GW611,EMT
GW628,CWR
