Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W6A	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Western-North	1044	NW3011	CRR1	Chester West Jn – Hooton South Jn	0	16	7	68	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1044	NW3013	HHJ	Hooton South Jn – Ellesmere Port (Limit of DC electrification)	0	02	3	44	Y	N	N	N	N	N	N	N	
London-North-Western-North	1044	NW3013	HHJ	Ellesmere Port (Limit of DC electrification) – Helsby Jn	3	44	8	67	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1044	NW3015	LJT1	Llandudno Jn – Blaenau Ffestiniog, End of line	0	30	27	53	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1044	NW3017	LLJ	Llandudno Jn – Llandudno	0	03	3	14	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1044	NW3019	GLA	Gaerwen Jn – Amlwch (Network Rail Boundary)	0	00	17	37	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	1044	NW3021	FJH	Frodsham Jn – Halton Jn	1	54	0	00	Y	Y	Y	N	N	N	N	N	
London-North-Western-North	1044	NW3023	EJN	Edgeley Jn – Northenden Jn	0	00	3	68	Y	N	N	N	N	N	N	N	
London-North-Western-North	1044	NW3023	WJP1	Northenden Jn – Skelton Jn	33	52	30	12	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1044	NW3023	SJD	Skelton Jn – Deansgate Jn	0	00	0	33	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1044	NW3023	CDM1	Deansgate Jn – Change of ELR (Altrincham)	7	05	8	00	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1045	NW3023	CDM2	Change of ELR (Altrincham) – Mickle Trafford Jn	7	69	35	40	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1045	NW3025	WJP1	Skelton Jn – Partington Jn Network Rail Boundary	30	12	27	20	–	N	N	N	N	N	N	N	Line Out of Use
London-North-Western-North	1045	NW3027	CDM1	Network Rail Boundary (Metrolink) – Deansgate Jn	6	77	7	05	–	–	–	–	–	–	–	–	Manchester Metrolink lines
London-North-Western-North	1045	NW3027	CDM1	Deansgate Jn – Altrincham	7	05	8	00	–	–	–	–	–	–	–	–	Manchester Metrolink lines
London-North-Western-North	1045	NW3029	SNJ	Sandbach North Jn – Northwich West Jn	0	00	8	64	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1045	NW3031	NSN	Northwich South Jn – Northwich Station Jn	8	37	8	66	Y	Y	N	N	N	N	N	N	
London-North-Western-North	1045	NW3033	HEG	Hartford East Jn – Hartford North Jn (East Goods line)	21	67	22	10	Y	Y	N	N	N	N	N	N	
London-North-Western-North	1045	NW3035	HWG	Hartford West Jn – Hartford North Jn (West Goods line)	0	11	0	29	Y	Y	N	N	N	N	N	N	
London-North-Western-North	1045	NW3037	HCN	Hartford CLC Jn – Hartford Jn	0	72	0	16	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1045	NW4001	CGJ5	Preston Ribble Jn – Preston	21	13	21	57	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4001	CGJ6	Preston – Preston North Jn	0	00	0	21	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4001	CGJ6	Preston North Jn – Preston Fylde Jn	0	21	0	33	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4001	CGJ6	Preston Fylde Jn – Lancaster	0	33	20	78	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4001	CGJ7	Lancaster – Carnforth North Jn	0	00	6	08	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4001	CGJ7	Carnforth North Jn – Oxenholme	6	08	19	11	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4001	CGJ7	Oxenholme – Upperby Jn	19	11	68	23	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4001	CGJ7	Upperby Jn – Carlisle	68	23	69	09	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4001	UCJ	Upperby Bridge Jn – Upperby Jn	0	00	0	38	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4001	WCM1	Carlisle – Mossband Jn (Including Kingmoor Yard Goods lines)	0	00	7	57	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4001	WCM1	Mossband Jn – Gretna Jn	7	57	8	57	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4001	WCM1	Gretna Jn – Route Boundary (SC001)	8	57	12	30	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1045	NW4003	PDB	Preston Fylde Jn – End of line	0	00	1	59	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	1045	NW4005	PBN	Preston Fylde Jn – Kirkham North Jn	0	33	8	28	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1045	NW4005	PBN	Kirkham North Jn – Poulton Jn	8	28	14	40	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1045	NW4005	PBN	Poulton Jn – Blackpool North	14	40	17	49	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1045	NW4007	KBS1	Kirkham North Jn – Blackpool South	8	28	20	00	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1045	NW4009	WPS	Poulton – Burn Naze (End of Branch)	14	40	18	08	–	N	N	N	N	N	N	N	Line Out of Use (Temporary)
London-North-Western-North	1046	NW4011	MSM	Morecambe South Jn – Morecambe Buffer Stops	0	00	2	12	Y *	Y	Y	N	N	N	N	N	
London-North-Western-North	1046	NW4013	HBL	Hest Bank Jn – Bare Lane Jn	0	00	1	30	Y	Y	Y	N	N	N	N	N	
London-North-Western-North	1046	NW4017	MHH	Morecambe Jn – Heysham Port	0	00	4	01	Y *	Y	Y	N	N	N	N	N	
London-North-Western-North	1046	NW4019	OXW	Oxenholme – Windermere	0	00	10	15	Y	N	N	N	N	N	N	N	
London-North-Western-North	1046	NW4021	UCJ	Upperby Jn – Bog Jn	0	38	1	07	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1046	NW4021	UCJ	Bog Jn – Rome Street Jn	1	07	1	23	Y	Y	N	N	N	N	N	N	
London-North-Western-North	1046	NW4023	ULR	Upperby Jn – London Road Jn	0	00	0	34	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1046	NW4025	MCG	Currock Jn – Change of ELR (Site of Former Forks Jn)	0	00	0	29	Y	Y	Y	Y	N	Y	Y	Y	
London-North-Western-North	1046	NW4025	SCG	Change of ELR (Site of Former Forks Jn) – Bog Jn	0	29	0	44	Y	Y	Y	Y	N	Y	Y	Y	
London-North-Western-North	1046	NW4027	BSN	Bruntill Branch Jn – Stainton Jn via Down and Up Brunthill Branch Siding	0	66	0	2	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1046	NW4027	ETC	End of line Buffer Stops – Network Rail Boundary / Brunthill via Down and Up Brunthill line	96	6	95	6	Y	Y	Y	Y	N	Y	N	N	
