ROUTE,PAGE,LINE OF ROUTE,LINE OF ROUTE / SECTOR DESCRIPTION,W6,W7,W8,W9,W9PLUS,W10,W10A,W12,NOTES
Scotland,1146,SC191,Dundee to Aberdeen,Y *,Y,S1,N,N,N,N,N,"S1 The following combinations are permitted: 2590 high x 2500 wide box, on KFA wagon 2770 high x 2500 wide box, on IKA wagon 2896 wide x 2500 wide box, on FLA wagon 2590 wide x 2600 wide box, on IFA wagon Safeway refrigerated box on IKA wagon All Lines"
Scotland,1146,SC193,Perth South Jn – Stanley Jn,Y *,Y,S1,N,N,N,N,N,S1 The following combinations are permitted: Up to: 2590 high x 2550 wide box on FKA IKA wagons Safeway refrigerated box on IKA FKA IFA FIA wagon All Lines
Scotland,1146,SC193,Stanley Jn – Pitlochry,Y *,Y,S1,N,N,N,N,N,S1 The following combinations are permitted: Up to: 2590 high x 2550 wide box on FKA IKA wagons Safeway refrigerated box on IKA FKA IFA FIA wagon All Lines
Scotland,1146,SC193,Pitlochry – Inverness,Y *,Y,Y,N,N,N,N,N,
Scotland,1147,SC193,Welsh's Bridge Jn – Rose Street Jn,Y,Y,Y,N,N,N,N,N,
Scotland,1147,SC193,Welsh's Bridge Jn – Inverness Harbour,Y,Y,Y,N,N,N,N,N,
Scotland,1147,SC195,Aberdeen to Elgin,Y *,Y,S1,N,N,N,N,N,"S1 The following combinations are permitted: 2590 high x 2500 wide box, on KFA wagon 2770 high x 2500 wide box, on IKA wagon 2896 wide x 2500 wide box, on FLA wagon 2590 wide x 2600 wide box, on IFA wagon Safeway refrigerated box on IKA wagon All Lines"
Scotland,1147,SC195,Elgin – Inverness,Y *,Y,N,N,N,N,N,N,
Scotland,1147,SC197,Kittybrewster – Waterloo Goods (Goods Line),Y,Y,Y,N,N,N,N,N,
Scotland,1147,SC199,Keith Branch,Y,N,N,N,N,N,N,N,
Scotland,1147,SC201,Alves GF – Burghead (Goods Line),–,–,–,–,–,–,–,–,Line Out of Use
Scotland,1147,SC203,Inverness – Wick,Y *,Y,Y,N,N,N,N,N,
Scotland,1147,SC205,Dingwall – Kyle of Lochalsh,Y *,Y,N,N,N,N,N,N,
Scotland,1147,SC207,Georgemas Junction – Thurso,Y *,Y,Y,N,N,N,N,N,
