ROUTE	PAGE	LINE OF ROUTE	LINE OF ROUTE / SECTOR DESCRIPTION	W6A	W7	W8	W9	W9PLUS	W10	W10A	W12	NOTES
Western	0825	GW700	Lydney Junction – NR/DFR Boundary	Y	N	N	N	N	N	N	N	
Western	0825	GW710	Llanwern Works East – Llanwern Works West via BSS	Y	Y	Y	Y	N	N	N	N	
Western	0825	GW720	Uskmouth – East Usk Jn	Y	Y	N	N	N	N	N	N	
Western	0826	GW730	Severn Bridge Jn – Craven Arms	Y *	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) or S13FT x 2500(w) on FCA/FYA wagons 2615(h) x 2500(w) on KFA wagons 2625(h) x 2500(w) on FEA FSA FTA wagons 2896(h) or S44FT x 2500(w) on FLA wagons S14FT or S17FT x 2550(w) on FSA/FTA FEA KFA wagons Up Line 30mph at Br.15 Sutton Lane [1m 48ch] Br 18 Sharptone [2m 53ch] 15mph at Br.19 Bayston Park [3m 05ch] Br. Chatford [4m 57ch] Br. All Stretton [11m 56ch] Br. Ballast Pit [13m 45ch] Down Line 15mph at Br.18 Sharpstone [2m 53ch] Br. A49 Longnor [7m 24ch] 5mph Br. Quaking Well [10m 62ch]
Western	0827	GW730	Craven Arms – Shelwick Jn	Y *	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) or S13FT x 2500(w) on FCA/FYA wagons 2615(h) x 2500(w) on KFA wagons 2625(h) x 2500(w) on FEA FSA FTA wagons 2896(h) or S44FT x 2500(w) on FLA wagons S14FT or S17FT x 2550(w) on FSA/FTA FEA KFA wagons 15mph Down Line Br. SHL 102 Caynham [30m 27ch] 15mph Both Lines Br. SHL 104 [31m 44ch]
Western	0827	GW730	Shelwick Jn – Red Hill Jn., former site of	Y *	Y	Y	N	N	N	N	N	
Western	0827	GW730	Red Hill Jn., former site of – Newport, Maindee West Jn	Y *	Y	Y	N	N	N	N	N	
Western	0827	GW731	LNW - Western boundary [170m 46ch] – Abbey Foregate Jn	Y	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2500(w) on FCA/FYA KFA wagons 2595(h) x 2500(w) on FKA, IKA wagons 15mph UP Line Bridge WSJ2-440 [170m 66ch]
Western	0827	GW731	Abbey Foregate Jn – Shrewsbury, Crewe Jn	Y *	Y	Y	N	N	N	N	N	
Western	0827	GW731	Shrewsbury, Crewe Jn – Ruabon	Y	N	N	N	N	N	N	N	
Western	0828	GW732	Abbey Foregate Jn – English Bridge Jn (Loop Lines)	Y	Y	Y	N	N	N	N	N	
Western	0828	GW733	Sutton Bridge Jn – Aberystwyth	Y *	N	N	N	N	N	N	N	
Western	0828	GW734	Dovey Jn – Pwllheli	S1 *	N	N	N	N	N	N	N	S1 Freight vehicles conforming to the W6a profile are permitted, EXCEPT IFA-S IFA-U wagons
Western	0828	GW735	Shrewsbury, Crewe Jn – Nantwich	Y *	Y	Y	N	N	N	N	N	
Western	0828	GW736	Gobowen South – Llanddu Jn	Y	N	N	N	N	N	N	N	
Western	0828	GW740	Maindee North Jn – Maindee East Jn	Y	Y	Y	N	N	N	N	N	
Western	0828	GW750	Hereford/Brecon Curve GF – MEB Siding	Y	N	N	N	N	N	N	N	
Western	0828	GW770	Ebbw Vale Parkway – Gaer Jn (Western Valley Line)	Y *	Y	Y	R1	N	N	N	N	R1 W9 15mph Both lines O/Br WVL [9m 45ch]
Western	0828	GW773	Machen Quarry – Park Jn	Y	N	N	N	N	N	N	N	
Western	0828	GW780	Park Jn – Ebbw Jn	Y	Y	Y	N	N	N	N	N	
Western	0828	GW784	Alexandra Dock Jn – 160m 27ch (Boundary with Newport Docks)	Y	Y	Y	N	N	N	N	N	
Western	0829	GW790	Pengam Jn – 4m 54ch (ABP) Cardiff Docks	Y	Y	Y	N	N	N	N	N	
Western	0829	GW810	Rhymney – Cardiff Queen Street North Jn	Y *	N	N	N	N	N	N	N	
Western	0829	GW820	Cwmbargoed – Ystrad Mynach South	Y	N	N	N	N	N	N	N	
Western	0829	GW828	Coryton – Heath Jn	Y	N	N	N	N	N	N	N	
Western	0829	GW830	Merthyr Tydfil – Cardiff East Jn via Cathays	Y *	N	N	N	N	N	N	N	
Western	0829	GW830	Cardiff East Jn – Cadoxton via Grangetown	Y *	Y	Y	N	N	N	N	N	
Western	0829	GW830	Cadoxton – Barry Island	Y *	N	N	N	N	N	N	N	
Western	0829	GW830	Barry Docks Line Junction – NR/ABP Boundary	Y	Y	Y	N	N	N	N	N	
Western	0829	GW834	Aberdare – Abercynon	Y	N	N	N	N	N	N	N	
Western	0830	GW835	Treherbert – Pontypridd Jn	Y	N	N	N	N	N	N	N	
Western	0830	GW839	Queen Street South Jn – Cardiff Bay	Y	N	N	N	N	N	N	N	
Western	0830	GW840	Radyr Jn – Cardiff, Radyr Branch Jn via City Lines	Y	N	N	N	N	N	N	N	
Western	0830	GW850	Leckwith Loop South Jn – Leckwith Loop North Jn	Y	N	N	N	N	N	N	N	
Western	0830	GW860	Penarth Curve North Jn – Penarth Curve South Jn	Y	N	N	N	N	N	N	N	
Western	0830	GW864	Cogan Jn – Penarth	Y *	N	N	N	N	N	N	N	
Western	0830	GW870	Barry – Bridgend, Barry Jn	Y *	N	N	N	N	N	N	N	
Western	0830	GW871	Ford Siding GF – Ford Works, Waterton	Y *	N	N	N	N	N	N	N	
Western	0831	GW874	Bridgend, Llynfi Jn – Tondu	Y *	Y	Y	N	N	N	N	N	
Western	0831	GW874	Tondun – Maesteg	Y	N	N	N	N	N	N	N	
Western	0831	GW877	Margam Abbey East / Newlands Loop Jn – Port Talbot Docks (Ogmore Vale Extension)	Y *	Y	Y	N	N	N	N	N	
Western	0831	GW890	Court Sart Jn / Up Flying Loop Jn – Dynover Jn (Swansea District Line)	Y*	Y	Y	N	N	N	N	N	
Western	0831	GW890	Dynover Jn – Morlais Jn	S1 *	N	N	N	N	N	N	N	S1 Freight vehicles conforming to the W6a profile are permitted, EXCEPT IFA-S IFA-U wagons at Lonlas Tunnel [1m 07ch - 1m 50ch]
Western	0831	GW8901	Dynevor Jn – Jersey Marine South Jn	Y *	Y	Y	N	N	N	N	N	
Western	0831	GW892	Cwmgwrach – Neath & Brecon Jn	Y *	N	N	N	N	N	N	N	
Western	0831	GW892	Neath & Brecon Jn – Burrows Sidings	Y	Y	Y	N	N	N	N	N	
Western	0831	GW893	Onllwyn – Neath and Brecon Jn	Y	Y	Y	N	N	N	N	N	
Western	0831	GW894	Jersey Marine Jn North – Jersey Marine Jn South	Y	Y	Y	N	N	N	N	N	
Western	0831	GW897	Grovesend Colliery Loop Jn – Hendy Jn	Y	N	N	N	N	N	N	N	
Western	0832	GW900	Pilning – Severn Tunnel Junction(s)	Y *	Y	Y	N	N	N	N	N	
Western	0832	GW900	Severn Tunnel Junction – Maindee West Jn	Y	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2500(w) on FCA/FYA wagons 2629(h) x 2550(w) on FEA FSA/FTA wagons 2616(h) x 2550(w) on KFA wagons 2896(h) x 2500(w) on FLA FAA IDA wagons
Western	0832	GW900	Maindee West Jn – Cardiff East Jn	Y *	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2500(w) on FCA/FYA wagons 2629(h) x 2550(w) on FEA FSA/FTA wagons 2616(h) x 2550(w) on KFA wagons 2896(h) x 2500(w) on FLA FAA wagons ALL LINES 2896(h) x 2500(w) on IDA wagons Newport New Tunnel Only
Western	0832	GW900	Cardiff East Jn – Court Sart Jn / Up Flying Loop Jn	Y *	Y	Y	N	N	N	N	N	
Western	0832	GW900	Court Sart Jn / Up Flying Loop Jn – Llandore Jn	Y *	N	N	N	N	N	N	N	
Western	0833	GW900	Llandore Jn – Llandeilo Jn	Y	N	N	N	N	N	N	N	
Western	0833	GW900	Llandeilo Jn – Carmarthen Bridge Jn	Y	Y	Y	N	N	N	N	N	
Western	0833	GW900	Carmarthen Bridge Jn – Whitland Jn	Y	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2500(w) on FCA/FYA wagons 2629(h) x 2550(w) on FEA FSA/FTA wagons 2616(h) x 2550(w) on KFA wagons 2896(h) x 2500(w) on FLA FAA wagons 15mph Down Line Br. SWM2 Llanygors [251m 63ch] 15mph Up Line SWM2 Whitland Tunne [257m 01ch – 257m 10ch]
Western	0833	GW900	Whitland Jn – Clarbeston Road Jn	Y	Y	Y	N	N	N	N	N	
Western	0833	GW900	Clarbeston Road Jn – Fishguard Harbour	Y *	N	N	N	N	N	N	N	
Western	0833	GW900	Long Dyke Jn – Cardiff Docks	Y	Y	Y	N	N	N	N	N	
Western	0833	GW900	Margam Moors Jn – Margam Abbey Works East Jn	Y	Y	Y	N	N	N	N	N	
Western	0833	GW900	Briton Ferry – Baglan Bay	Y	Y	Y	N	N	N	N	N	
Western	0833	GW9001	Landore Jn – Swansea	Y *	N	N	N	N	N	N	N	
Western	0833	GW906	Swansea Loop East Jn – Swansea Loop West Jn	Y	N	N	N	N	N	N	N	
